Filename:	D:\TGAdata\„∆√ŒœÈ\Ã∆–°º™\15%5mm.t6d

Temperature (°„C)	Weight % (%)
28.11	100.095
28.10	100.107
28.10	100.067
28.10	100.063
28.11	100.079
28.11	100.067
28.12	100.103
28.13	100.142
28.16	100.138
28.19	100.166
28.24	100.185
28.30	100.177
28.36	100.201
28.44	100.209
28.52	100.185
28.62	100.197
28.73	100.213
28.85	100.193
28.99	100.205
29.15	100.232
29.32	100.221
29.50	100.232
29.68	100.232
29.89	100.217
30.10	100.236
30.32	100.252
30.55	100.240
30.78	100.240
31.02	100.244
31.27	100.232
31.52	100.236
31.78	100.252
32.05	100.248
32.31	100.252
32.59	100.264
32.86	100.252
33.15	100.244
33.43	100.256
33.72	100.260
34.01	100.276
34.31	100.287
34.61	100.276
34.91	100.264
35.21	100.279
35.51	100.276
35.82	100.276
36.12	100.279
36.43	100.283
36.74	100.283
37.05	100.287
37.37	100.279
37.68	100.260
38.00	100.268
38.32	100.276
38.63	100.276
38.95	100.291
39.27	100.303
39.59	100.307
39.91	100.335
40.23	100.350
40.56	100.358
40.88	100.362
41.20	100.358
41.53	100.358
41.86	100.366
42.18	100.378
42.51	100.378
42.84	100.394
43.17	100.397
43.50	100.389
43.83	100.389
44.16	100.386
44.50	100.386
44.83	100.397
45.16	100.409
45.50	100.409
45.83	100.417
46.16	100.417
46.49	100.417
46.83	100.429
47.16	100.441
47.50	100.445
47.83	100.441
48.17	100.441
48.51	100.441
48.85	100.448
49.19	100.452
49.52	100.448
49.86	100.445
50.20	100.448
50.54	100.445
50.87	100.445
51.21	100.460
51.55	100.460
51.89	100.456
52.23	100.460
52.57	100.456
52.90	100.464
53.24	100.464
53.58	100.452
53.93	100.448
54.27	100.448
54.61	100.445
54.94	100.441
55.28	100.452
55.62	100.460
55.96	100.460
56.30	100.456
56.64	100.448
56.98	100.445
57.31	100.441
57.66	100.445
58.00	100.448
58.33	100.460
58.67	100.464
59.01	100.460
59.35	100.456
59.69	100.460
60.03	100.460
60.37	100.472
60.71	100.480
61.04	100.476
61.38	100.476
61.72	100.472
62.06	100.464
62.40	100.460
62.74	100.464
63.08	100.456
63.42	100.452
63.76	100.448
64.11	100.448
64.44	100.445
64.78	100.448
65.13	100.452
65.47	100.452
65.81	100.456
66.14	100.452
66.48	100.441
66.83	100.441
67.17	100.437
67.51	100.433
67.85	100.433
68.19	100.421
68.53	100.409
68.88	100.425
69.22	100.437
69.56	100.433
69.91	100.425
70.26	100.417
70.60	100.413
70.95	100.401
71.29	100.409
71.64	100.409
71.98	100.409
72.33	100.409
72.67	100.405
73.02	100.405
73.37	100.397
73.71	100.405
74.06	100.409
74.40	100.409
74.74	100.401
75.09	100.397
75.43	100.401
75.77	100.394
76.11	100.405
76.46	100.417
76.80	100.417
77.14	100.405
77.48	100.401
77.83	100.397
78.17	100.397
78.51	100.401
78.85	100.397
