Filename:	D:\TGAdata\ãÆÃÎÏé\ÌÆÐ¡¼ª\´¿PP.t6d

Temperature (¡ãC)	Weight % (%)
32.61	99.993
32.60	99.981
32.59	99.977
32.58	99.973
32.56	99.964
32.55	99.964
32.54	99.981
32.53	99.977
32.52	99.977
32.51	100.017
32.49	100.042
32.48	100.054
32.47	100.062
32.46	100.050
32.44	100.046
32.43	100.062
32.42	100.058
32.42	100.050
32.42	100.050
32.43	100.042
32.45	100.062
32.48	100.070
32.52	100.054
32.57	100.054
32.62	100.070
32.69	100.058
32.78	100.058
32.88	100.070
33.00	100.074
33.13	100.086
33.28	100.098
33.44	100.098
33.62	100.102
33.81	100.119
34.01	100.123
34.22	100.106
34.44	100.098
34.67	100.090
34.90	100.082
35.14	100.090
35.38	100.094
35.63	100.086
35.88	100.094
36.15	100.090
36.43	100.078
36.70	100.078
36.97	100.078
37.25	100.070
37.54	100.082
37.82	100.090
38.11	100.090
38.41	100.094
38.70	100.094
39.00	100.086
39.30	100.086
39.61	100.090
39.91	100.082
40.22	100.094
40.53	100.086
40.84	100.086
41.15	100.090
41.46	100.090
41.78	100.086
42.10	100.098
42.42	100.090
42.74	100.086
43.06	100.086
43.38	100.090
43.70	100.090
44.03	100.098
44.35	100.106
44.68	100.094
45.01	100.094
45.33	100.086
45.66	100.082
45.99	100.086
46.31	100.090
46.64	100.078
46.97	100.078
47.30	100.082
47.63	100.078
47.97	100.082
48.30	100.086
48.63	100.094
48.96	100.098
49.29	100.098
49.63	100.086
49.97	100.090
50.30	100.094
50.64	100.094
50.97	100.090
51.30	100.090
51.64	100.082
51.97	100.078
52.30	100.078
52.64	100.086
52.98	100.094
53.32	100.098
53.66	100.094
54.00	100.090
54.34	100.090
54.68	100.090
55.02	100.086
55.36	100.086
55.70	100.086
56.05	100.094
56.39	100.102
56.73	100.110
57.07	100.115
57.41	100.119
57.75	100.115
58.09	100.106
58.43	100.106
58.77	100.110
59.11	100.119
59.46	100.115
59.80	100.110
60.14	100.110
60.48	100.106
60.82	100.106
61.16	100.106
61.50	100.106
61.84	100.110
62.19	100.106
62.53	100.102
62.87	100.106
63.21	100.110
63.55	100.110
63.88	100.106
64.22	100.110
64.57	100.110
64.91	100.098
65.25	100.102
65.59	100.098
65.94	100.090
66.28	100.082
66.62	100.086
66.96	100.086
67.31	100.094
67.65	100.094
68.00	100.098
68.34	100.106
68.69	100.106
69.03	100.094
69.38	100.090
69.72	100.090
70.06	100.082
70.41	100.086
70.76	100.094
71.10	100.098
71.45	100.102
71.80	100.090
72.14	100.078
72.49	100.078
72.83	100.082
73.18	100.078
73.52	100.074
73.86	100.078
74.21	100.074
74.55	100.066
74.90	100.062
75.24	100.066
75.59	100.066
75.93	100.074
76.28	100.086
76.62	100.094
76.96	100.098
77.31	100.098
77.65	100.090
77.99	100.082
78.34	100.074
78.68	100.082
79.03	100.074
79.38	100.066
79.72	100.070
80.07	100.074
80.41	100.078
80.76	100.066
81.10	100.066
81.45	100.062
81.79	100.054
82.13	100.046
82.47	100.050
82.82	100.054
83.16	100.050
83.50	100.050
83.84	100.050
84.18	100.054
84.52	100.050
84.87	100.050
85.21	100.046
85.55	100.042
85.89	100.050
86.24	100.050
86.58	100.046
86.92	100.042
87.26	100.033
87.61	100.033
87.95	100.033
88.29	100.033
88.64	100.025
88.98	100.017
89.32	100.013
89.66	100.013
90.00	100.017
90.34	100.017
90.68	100.025
91.02	100.033
91.36	100.033
91.70	100.029
92.05	100.021
92.39	100.021
92.73	100.021
93.08	100.017
93.42	100.017
93.76	100.017
94.10	100.013
94.44	100.009
94.78	100.009
95.13	100.013
95.47	100.017
95.81	100.013
96.15	100.013
96.49	100.009
96.84	100.005
97.18	100.009
97.53	100.013
97.87	100.013
98.22	100.009
98.56	100.013
98.90	100.009
99.24	100.005
99.58	100.001
99.92	99.997
100.27	99.993
100.61	99.997
100.95	99.997
101.29	99.997
101.63	99.997
101.98	99.997
102.32	99.997
102.67	99.997
103.01	99.985
103.36	99.985
103.70	99.985
104.05	99.981
104.39	99.977
104.74	99.977
105.08	99.985
105.42	99.989
105.76	99.989
106.10	99.973
106.43	99.981
106.77	99.977
107.11	99.973
107.45	99.989
107.78	99.993
108.11	99.993
108.44	99.993
108.78	100.001
109.11	100.001
109.44	99.997
109.77	99.993
110.10	99.993
110.43	99.989
110.76	99.993
111.09	99.989
111.41	99.981
111.74	99.981
112.07	99.985
112.40	99.989
112.73	99.997
113.06	99.997
113.39	99.997
113.71	100.001
114.03	99.997
114.36	99.989
114.68	99.989
115.01	99.989
115.33	99.985
115.66	99.977
115.98	99.973
116.31	99.981
116.63	99.985
116.96	99.985
117.28	99.989
117.60	99.997
117.92	99.997
118.25	100.001
118.57	100.005
118.89	100.001
119.21	99.997
119.54	99.993
119.86	99.989
120.19	99.981
120.51	99.977
120.83	99.977
121.15	99.989
121.47	99.993
121.79	99.981
122.11	99.973
122.43	99.977
122.75	99.973
123.07	99.977
123.39	99.981
123.72	99.985
124.05	99.989
124.38	99.997
124.71	99.997
125.04	99.989
125.37	99.989
125.70	99.977
126.03	99.968
126.37	99.968
126.70	99.968
127.03	99.977
127.36	99.973
127.69	99.973
128.02	99.977
128.35	99.985
128.68	99.989
129.01	99.993
129.34	99.993
129.67	99.989
130.00	99.989
130.33	99.993
130.66	99.993
130.99	99.989
131.32	99.989
131.65	99.989
131.97	99.993
132.30	99.993
132.63	99.993
132.96	99.989
133.29	99.981
133.61	99.985
133.94	99.985
134.26	99.989
134.59	99.993
134.91	99.989
135.24	99.989
135.57	99.989
135.90	99.981
136.22	99.981
136.55	99.981
136.87	99.985
137.19	99.993
137.51	99.989
137.83	99.985
138.15	99.989
138.47	100.001
138.79	99.997
139.11	99.993
139.44	99.997
139.76	99.989
140.08	99.997
140.41	100.001
140.72	100.001
141.05	99.997
141.37	99.989
141.69	99.989
142.02	99.985
142.34	99.973
142.66	99.977
142.98	99.977
143.30	99.973
143.62	99.968
143.94	99.968
144.26	99.977
144.59	99.985
144.91	99.981
145.24	99.981
145.57	99.989
145.89	99.989
146.22	99.981
146.54	99.981
146.86	99.985
147.18	99.985
147.50	99.985
147.82	99.989
148.14	99.985
148.47	99.981
148.79	99.977
149.12	99.977
149.44	99.977
149.76	99.973
150.09	99.973
150.41	99.981
150.73	99.985
151.05	99.989
151.38	99.993
151.70	99.993
152.02	99.993
152.34	99.985
152.66	99.981
152.99	99.981
153.31	99.977
153.63	99.977
153.95	99.981
154.27	99.977
154.59	99.973
154.91	99.968
155.23	99.964
155.55	99.968
155.87	99.981
156.19	99.977
156.52	99.981
156.84	99.981
157.16	99.977
157.48	99.977
157.80	99.985
158.13	99.993
158.45	100.005
158.77	99.997
159.09	99.993
159.41	99.993
159.73	99.997
160.05	100.009
160.37	100.013
160.69	100.005
161.01	100.001
161.33	99.997
161.65	100.001
161.97	100.001
162.29	99.997
162.62	99.993
162.94	99.989
163.26	99.993
163.58	99.989
163.90	99.981
164.22	99.981
164.54	99.985
164.86	99.981
165.18	99.985
165.50	99.989
165.82	99.985
166.14	99.985
166.46	99.985
166.78	99.989
167.10	99.989
167.42	100.001
167.74	99.997
168.06	99.997
168.38	99.989
168.70	99.981
169.02	99.981
169.35	99.985
169.67	99.989
169.99	99.985
170.31	99.985
170.64	99.993
170.96	100.001
171.28	99.993
171.60	99.993
171.92	99.989
172.23	99.981
172.56	99.977
172.88	99.981
173.20	99.977
173.53	99.981
173.85	99.993
174.17	99.997
174.49	99.989
174.81	99.989
175.14	99.989
175.46	99.985
175.79	99.985
176.12	99.985
176.45	99.985
176.78	99.981
177.10	99.989
177.43	99.989
177.76	99.989
178.09	99.985
178.41	99.977
178.74	99.981
179.08	99.985
179.41	99.981
179.74	99.981
180.08	99.977
180.41	99.977
180.74	99.977
181.07	99.981
181.41	99.981
181.74	99.973
182.08	99.968
182.41	99.964
182.75	99.960
183.08	99.960
183.42	99.960
183.75	99.973
184.08	99.973
184.41	99.973
184.75	99.968
185.08	99.964
185.41	99.952
185.75	99.952
186.08	99.960
186.41	99.964
186.74	99.973
187.06	99.977
187.40	99.977
187.72	99.973
188.05	99.964
188.38	99.956
188.72	99.948
189.05	99.948
189.38	99.952
189.71	99.956
190.04	99.964
190.36	99.968
190.69	99.973
191.01	99.973
191.34	99.960
191.66	99.956
