Filename:	D:\TGAdata\„∆√ŒœÈ\20150506\10.pdid

Temperature (°„C)	Heat Flow Endo Up (mW)
10.68	2.2955
10.68	2.2974
10.68	2.2844
10.68	2.2589
10.68	2.2244
10.68	2.1844
10.68	2.1418
10.68	2.0991
10.69	2.0574
10.70	2.0175
10.70	1.9800
10.70	1.9451
10.70	1.9128
10.71	1.8831
10.72	1.8556
10.73	1.8302
10.73	1.8065
10.74	1.7842
10.75	1.7629
10.77	1.7427
10.78	1.7233
10.79	1.7040
10.80	1.6854
10.81	1.6673
10.83	1.6491
10.83	1.6311
10.85	1.6132
10.86	1.5957
10.87	1.5783
10.88	1.5613
10.90	1.5452
10.91	1.5294
10.93	1.5139
10.94	1.4990
10.95	1.4849
10.97	1.4713
10.99	1.4585
11.00	1.4466
11.01	1.4357
11.03	1.4259
11.05	1.4169
11.06	1.4090
11.08	1.4024
11.09	1.3968
11.10	1.3924
11.12	1.3890
11.14	1.3870
11.15	1.3862
11.17	1.3869
11.18	1.3886
11.20	1.3915
11.21	1.3954
11.23	1.4006
11.24	1.4069
11.26	1.4145
11.27	1.4231
11.29	1.4327
11.32	1.4432
11.33	1.4546
11.34	1.4672
11.36	1.4805
11.37	1.4947
11.39	1.5095
11.40	1.5252
11.42	1.5417
11.43	1.5588
11.45	1.5765
11.47	1.5948
11.48	1.6136
11.50	1.6330
11.52	1.6528
11.53	1.6734
11.55	1.6945
11.57	1.7159
11.58	1.7375
11.60	1.7593
11.61	1.7815
11.63	1.8037
11.65	1.8262
11.66	1.8488
11.68	1.8713
11.69	1.8940
11.71	1.9168
11.73	1.9396
11.74	1.9624
11.76	1.9851
11.78	2.0078
11.79	2.0306
11.81	2.0532
11.82	2.0753
11.84	2.0978
11.86	2.1201
11.88	2.1424
11.89	2.1644
11.90	2.1861
11.92	2.2078
11.94	2.2292
11.95	2.2506
11.98	2.2718
11.99	2.2926
12.01	2.3132
12.03	2.3337
12.04	2.3539
12.06	2.3738
12.08	2.3935
12.08	2.4129
12.10	2.4320
12.12	2.4508
