Filename:	D:\TGAdata\„∆√ŒœÈ\20150506\10%5mm.pdid

Temperature (°„C)	Heat Flow Endo Up (mW)
10.21	1.2729
10.21	1.2960
10.21	1.3051
10.21	1.3023
10.21	1.2911
10.21	1.2746
10.22	1.2558
10.22	1.2373
10.22	1.2199
10.23	1.2040
10.23	1.1908
10.23	1.1794
10.25	1.1703
10.25	1.1631
10.26	1.1573
10.27	1.1525
10.28	1.1483
10.29	1.1443
10.30	1.1408
10.31	1.1371
10.33	1.1329
10.34	1.1282
10.35	1.1225
10.36	1.1159
10.37	1.1087
10.39	1.1006
10.40	1.0920
10.42	1.0828
10.43	1.0736
10.44	1.0644
10.46	1.0551
10.48	1.0460
10.49	1.0370
10.51	1.0284
10.52	1.0204
10.53	1.0129
10.55	1.0064
10.57	1.0007
10.58	0.9959
10.60	0.9924
10.61	0.9901
10.63	0.9887
10.64	0.9887
10.66	0.9901
10.68	0.9928
10.69	0.9969
10.71	1.0024
10.73	1.0093
10.74	1.0176
10.76	1.0273
10.77	1.0382
10.78	1.0505
10.80	1.0642
10.82	1.0787
10.83	1.0945
10.85	1.1114
10.87	1.1291
10.88	1.1480
10.90	1.1675
10.92	1.1881
10.93	1.2095
10.95	1.2316
10.96	1.2543
10.98	1.2776
11.00	1.3016
11.01	1.3261
11.03	1.3512
11.05	1.3765
11.06	1.4020
11.08	1.4279
11.10	1.4541
11.11	1.4805
11.13	1.5075
11.15	1.5345
11.16	1.5611
11.18	1.5881
11.19	1.6151
11.21	1.6419
11.23	1.6685
11.25	1.6951
11.26	1.7217
11.28	1.7482
11.29	1.7744
11.31	1.8004
11.33	1.8262
11.34	1.8517
11.35	1.8771
11.37	1.9021
11.39	1.9267
11.41	1.9511
11.43	1.9752
11.44	1.9993
11.45	2.0230
11.47	2.0464
11.49	2.0692
11.51	2.0917
11.52	2.1139
11.53	2.1356
11.55	2.1571
11.57	2.1783
11.59	2.1990
11.60	2.2194
11.62	2.2395
11.64	2.2591
11.66	2.2785
11.67	2.2972
11.69	2.3154
11.70	2.3337
