Filename:	D:\TGAdata\„∆√ŒœÈ\20150506\20%5mm.pdid

Temperature (°„C)	Heat Flow Endo Up (mW)
24.30	9.0603
24.20	9.8726
24.10	9.7697
24.00	9.6088
23.89	9.3940
23.79	9.1418
23.69	8.8692
23.58	8.5908
23.49	8.3169
23.38	8.4482
23.28	9.2423
23.18	9.1224
23.08	8.9451
22.98	8.7156
22.88	8.4496
22.78	8.1641
22.68	7.8735
22.57	7.5884
22.48	7.3152
22.38	7.0597
22.28	6.8242
22.18	6.6110
22.07	6.4201
21.98	6.2512
21.87	6.1030
21.78	5.9738
21.68	5.8614
21.58	5.7645
21.48	5.6804
21.38	5.6070
21.28	5.5425
21.18	5.4847
21.08	5.4320
20.99	5.3827
20.89	5.3350
20.79	5.2882
20.69	5.2407
20.59	5.1920
20.50	5.1411
20.40	5.0875
20.30	5.0307
20.20	4.9707
20.11	4.9069
20.01	4.8395
19.91	4.7685
19.81	4.6933
19.72	4.6152
19.63	4.5334
19.53	4.4481
19.43	4.3601
19.34	4.2696
19.24	4.1769
19.14	4.0824
19.05	3.9864
18.95	3.8890
18.85	3.7906
18.75	3.6915
18.66	3.5922
18.57	3.4927
18.48	3.3934
18.38	3.2943
18.29	3.1964
18.19	3.0991
18.09	3.0037
18.00	2.9091
17.90	2.8157
17.81	2.7236
17.72	2.6336
17.62	2.5455
17.53	2.4585
17.43	2.3742
17.34	2.2920
17.25	2.2115
17.15	2.1334
17.06	2.0568
16.97	1.9831
16.88	1.9113
16.78	1.8409
16.69	1.7728
16.59	1.7067
16.50	1.6430
16.41	1.5807
16.32	1.5206
16.23	1.4622
16.14	1.4059
16.05	1.3510
15.95	1.2974
15.86	1.2458
15.77	1.1956
15.68	1.1468
15.58	1.0992
15.49	1.0536
15.40	1.0091
15.31	0.9667
15.22	0.9246
15.13	0.8844
15.03	0.8450
14.94	0.8064
14.85	0.7687
14.76	0.7317
14.68	0.6959
14.58	0.6614
14.49	0.6272
14.40	0.5945
14.31	0.5623
14.23	0.5307
14.13	0.4943
14.05	0.3600
