Filename:	D:\TGAdata\„∆√ŒœÈ\20150506\chunPP.pdid

Temperature (°„C)	Heat Flow Endo Up (mW)
10.13	-6.4984
10.14	-6.3741
10.14	-6.2734
10.13	-6.1928
10.13	-6.1259
10.13	-6.0675
10.13	-6.0120
10.13	-5.9559
10.14	-5.8973
10.14	-5.8346
10.14	-5.7676
10.15	-5.6960
10.16	-5.6203
10.17	-5.5412
10.18	-5.4591
10.19	-5.3748
10.20	-5.2891
10.20	-5.2030
10.22	-5.1168
10.23	-5.0309
10.24	-4.9465
10.25	-4.8638
10.26	-4.7832
10.28	-4.7049
10.29	-4.6290
10.30	-4.5557
10.32	-4.4850
10.33	-4.4170
10.35	-4.3510
10.36	-4.2871
10.38	-4.2252
10.39	-4.1650
10.40	-4.1064
10.42	-4.0493
10.43	-3.9934
10.45	-3.9390
10.47	-3.8852
10.48	-3.8316
10.50	-3.7789
10.51	-3.7265
10.53	-3.6742
10.55	-3.6221
10.56	-3.5696
10.58	-3.5170
10.59	-3.4643
10.61	-3.4110
10.62	-3.3571
10.64	-3.3029
10.65	-3.2479
10.67	-3.1918
10.68	-3.1354
10.70	-3.0783
10.72	-3.0203
10.73	-2.9619
10.75	-2.9027
10.77	-2.8427
10.79	-2.7819
10.80	-2.7205
10.82	-2.6585
10.84	-2.5959
10.85	-2.5329
10.86	-2.4695
10.88	-2.4056
10.90	-2.3414
10.91	-2.2767
10.93	-2.2117
10.95	-2.1462
10.96	-2.0806
10.98	-2.0152
11.00	-1.9492
11.01	-1.8833
11.03	-1.8167
11.05	-1.7504
11.06	-1.6841
11.08	-1.6181
11.09	-1.5521
11.11	-1.4860
11.13	-1.4205
11.14	-1.3553
11.15	-1.2903
11.18	-1.2259
11.19	-1.1619
11.20	-1.0982
11.22	-1.0349
11.24	-0.9720
11.26	-0.9092
11.27	-0.8471
11.29	-0.7855
11.30	-0.7243
11.33	-0.6637
11.34	-0.6037
11.35	-0.5443
11.37	-0.4857
11.39	-0.4271
11.40	-0.3694
11.42	-0.3123
11.44	-0.2555
